id,type,projects,tasks,requirements,offers,weeks,persons,model_size,mappings,vars,constraints,is_optimal,solved_ratio,project_ratio,total_time_avg,build_time_avg,pm_time_avg,build_gips_time_avg,build_solver_time_avg,solve_time_avg,apply_time_avg,pm_time_max,build_time_max,build_gips_time_max,build_solver_time_max,solve_time_max,apply_time_max,pm_time_min,build_time_min,build_gips_time_min,build_solver_time_min,solve_time_min,apply_time_min,pm_memory_avg,build_memory_avg,build_gips_memory_avg,build_solver_memory_avg,solve_memory_avg,apply_memory_avg,pm_memory_max,build_memory_max,build_gips_memory_max,build_solver_memory_max,solve_memory_max,apply_memory_max,pm_memory_min,build_memory_min,build_gips_memory_min,build_solver_memory_min,solve_memory_min,apply_memory_min
BATCH-E-batch-7,BATCH-E,7,42,210,2634,76,124,3381,1125817,10137092,18023805,false,1.0,1.0,721.235864659,246.668137672,6.302632617,158.431890439,81.93313046,87.390014699,380.875079671,6.302632617,246.668137672,158.431890439,81.93313046,87.390014699,380.875079671,6.302632617,246.668137672,158.431890439,81.93313046,87.390014699,380.875079671,3211,23765,23913,23765,24540,26950,3211,23765,23913,23765,24540,26950,3211,23765,23913,23765,24540,26950
BATCH-A-inc-7,BATCH-A,7,70,1050,96317,376,537,99788,69462,664589,917831,true,1.0,1.0,379.00659408,55.079771148,2.999415215,46.942606065,5.137216376,230.522628778,90.404778939,2.999415215,55.079771148,46.942606065,5.137216376,230.522628778,90.404778939,2.999415215,55.079771148,46.942606065,5.137216376,230.522628778,90.404778939,1334,2995,3321,2995,3077,13063,1334,2995,3321,2995,3077,13063,1334,2995,3321,2995,3077,13063
INC-F-inc-7,INC-F,7,70,1050,96317,376,537,99788,14377,135026,188090,true,1.0,1.0,87.11706028714283,43.94017393971428,0.40413942814285714,42.859510109714286,0.6738209741428571,13.770099859142857,29.002647060142856,2.349660266,45.005485452,44.418595864,1.025353954,43.431193133,50.499137171,0.049533614,42.207958411,41.103327384,0.5338018,5.503714499,18.67452791,4791,4878,5658,4878,4922,5391,8602,8055,9167,8055,8097,8589,1115,1678,2390,1678,1732,2282
BATCH-A-batch-8,BATCH-A,8,48,240,2932,76,138,3778,2476,27700,39767,true,1.0,1.0,7.529907326,4.075280775,0.272029173,3.58942961,0.213447238,1.131586167,2.051011211,0.272029173,4.075280775,3.58942961,0.213447238,1.131586167,2.051011211,0.272029173,4.075280775,3.58942961,0.213447238,1.131586167,2.051011211,249,542,459,542,582,142,249,542,459,542,582,142,249,542,459,542,582,142
BATCH-B-batch-8,BATCH-B,8,48,240,2932,76,138,3778,2476,27700,44703,true,1.0,1.0,6.706194201000001,3.864294253,0.261412287,3.37993542,0.222565622,0.57049023,2.009997431,0.261412287,3.864294253,3.37993542,0.222565622,0.57049023,2.009997431,0.261412287,3.864294253,3.37993542,0.222565622,0.57049023,2.009997431,162,692,604,692,734,456,162,692,604,692,734,456,162,692,604,692,734,456
BATCH-C-batch-8,BATCH-C,8,48,240,2932,76,138,3778,3498,36898,62501,true,1.0,1.0,7.5099728400000005,3.913065296,0.242124761,3.379470349,0.291038752,0.790539485,2.564243298,0.242124761,3.913065296,3.379470349,0.291038752,0.790539485,2.564243298,0.242124761,3.913065296,3.379470349,0.291038752,0.790539485,2.564243298,248,613,495,613,651,363,248,613,495,613,651,363,248,613,495,613,651,363
BATCH-D-batch-8,BATCH-D,8,48,240,2932,76,138,3778,386648,3485248,6196391,true,1.0,1.0,223.29617114,69.560575109,3.146491159,38.087279664,28.326288139,23.601350934,126.987753938,3.146491159,69.560575109,38.087279664,28.326288139,23.601350934,126.987753938,3.146491159,69.560575109,38.087279664,28.326288139,23.601350934,126.987753938,1293,8908,9356,8908,9223,17865,1293,8908,9356,8908,9223,17865,1293,8908,9356,8908,9223,17865
BATCH-E-batch-8,BATCH-E,8,48,240,2932,76,138,3778,1507448,13572448,24131356,false,1.0,1.0,981.2883195249999,355.975531393,7.819694486,232.902716894,115.252624436,97.819123318,519.673970328,7.819694486,355.975531393,232.902716894,115.252624436,97.819123318,519.673970328,7.819694486,355.975531393,232.902716894,115.252624436,97.819123318,519.673970328,4001,30387,25698,30387,31340,39718,4001,30387,25698,30387,31340,39718,4001,30387,25698,30387,31340,39718
BATCH-A-inc-8,BATCH-A,8,80,1200,109921,376,607,113859,83016,792208,1092484,true,1.0,1.0,469.02657073200004,67.134378851,2.956968721,58.234252048,5.942647444,291.652617404,107.282605756,2.956968721,67.134378851,58.234252048,5.942647444,291.652617404,107.282605756,2.956968721,67.134378851,58.234252048,5.942647444,291.652617404,107.282605756,1658,4284,11965,4284,4384,10975,1658,4284,11965,4284,4384,10975,1658,4284,11965,4284,4384,10975
INC-F-inc-8,INC-F,8,80,1200,109921,376,607,113859,16481,153962,213564,true,1.0,1.0,81.644700044875,31.147903906125,0.41650386125,30.03539580925,0.693579756375,15.356987560375,34.723304717124996,2.709326244,33.84700524,30.425066064,1.135441138,55.55004286,70.0902051,0.04995044,30.333569287,29.374626132,0.543430827,6.038127338,19.306880105,5368,5512,5149,5512,5555,6034,11308,10488,9948,10488,10536,11290,1423,2368,1940,2368,2410,2979
BATCH-A-batch-9,BATCH-A,9,54,270,3336,76,149,4269,3064,33669,48098,true,1.0,1.0,8.844424649999999,5.16539568,0.267534666,4.638123662,0.259341928,0.853143567,2.558350737,0.267534666,5.16539568,4.638123662,0.259341928,0.853143567,2.558350737,0.267534666,5.16539568,4.638123662,0.259341928,0.853143567,2.558350737,116,178,932,178,216,717,116,178,932,178,216,717,116,178,932,178,216,717
BATCH-B-batch-9,BATCH-B,9,54,270,3336,76,149,4269,3064,33669,54208,true,1.0,1.0,8.722041908000001,4.92635246,0.233503207,4.428955431,0.263519099,0.966593436,2.595592805,0.233503207,4.92635246,4.428955431,0.263519099,0.966593436,2.595592805,0.233503207,4.92635246,4.428955431,0.263519099,0.966593436,2.595592805,136,185,899,185,224,728,136,185,899,185,224,728,136,185,899,185,224,728
BATCH-C-batch-9,BATCH-C,9,54,270,3336,76,149,4269,4137,43326,73358,true,1.0,1.0,9.31277927,4.851883969,0.304286201,4.211556713,0.335657621,0.894426277,3.262182823,0.304286201,4.851883969,4.211556713,0.335657621,0.894426277,3.262182823,0.304286201,4.851883969,4.211556713,0.335657621,0.894426277,3.262182823,136,805,664,805,844,715,136,805,664,805,844,715,136,805,664,805,844,715
